seq[247], delay = 2668100
seq[248], delay = 2090100
seq[249], delay = 1601300
seq[250], delay = 4848500
seq[251], delay = 2856500
seq[252], delay = 1829400
seq[253], delay = 1899700
seq[254], delay = 1503000
seq[255], delay = 4131900
seq[256], delay = 1843700
seq[257], delay = 1892200
seq[258], delay = 1915500
seq[259], delay = 2232600
seq[260], delay = 1909300
seq[261], delay = 14012100
seq[262], delay = 1999300
seq[263], delay = 20373600
seq[264], delay = 2172900
seq[265], delay = 2181700
seq[266], delay = 15717800
seq[267], delay = 2087900
seq[268], delay = 3305900
seq[269], delay = 4616000
seq[270], delay = 1834100
seq[271], delay = 1537400
seq[272], delay = 1901200
seq[273], delay = 1739100
seq[274], delay = 1869400
seq[275], delay = 15148800
seq[276], delay = 3760900
seq[277], delay = 1526400
seq[278], delay = 5750800
seq[279], delay = 1482200
seq[280], delay = 1944800
seq[281], delay = 3164000
seq[282], delay = 4547600
seq[283], delay = 2478300
seq[284], delay = 2864700
seq[285], delay = 2412600
seq[286], delay = 2720600
seq[287], delay = 1725400
seq[288], delay = 2071600
seq[289], delay = 11104900
seq[290], delay = 10301300
seq[291], delay = 1547600
seq[292], delay = 1529100
seq[293], delay = 1746400
seq[294], delay = 3053900
seq[295], delay = 1841100
seq[296], delay = 1746400
seq[297], delay = 1687800
seq[298], delay = 5385700
seq[299], delay = 1569300
seq[300], delay = 1590700
seq[301], delay = 12169700
seq[302], delay = 1732400
seq[303], delay = 1911500
seq[304], delay = 1625100
seq[305], delay = 2026800
seq[306], delay = 23731300
seq[307], delay = 1482500
seq[308], delay = 1592600
seq[309], delay = 1992200
seq[310], delay = 2232600
seq[311], delay = 3076300
seq[312], delay = 2210000
seq[313], delay = 2996600
seq[314], delay = 19142300
seq[315], delay = 3194800
seq[316], delay = 1613100
seq[317], delay = 5447900
seq[318], delay = 1806500
seq[319], delay = 1979100
seq[320], delay = 1804000
seq[321], delay = 5266100
seq[322], delay = 12401400
seq[323], delay = 2618600
